date,user,product,price
20260209,1225882717,,1312
20260209,1225882717,,2047
20260209,1225882717,,1314
20260209,1225882717,,2063
20260209,1225882717,,1472
20260209,1225882717,,2486
20260209,1225882717,,1301
20260209,1072906282,,1220
20260209,1072906282,,2613
20260209,1072906282,,1271
20260209,1072906282,,2060
20260209,1072906282,,1923
20260209,1072906282,,2452
20260209,1072906282,,2473
20260209,1072906282,,2046
20260209,1072906282,,2200
20260209,1072906282,,1185
20260209,1072906282,,2009
20260209,1072906282,,1769
20260209,1192161128,,1490
20260209,1192161128,,2443
20260209,1192161128,,1686
20260209,1192161128,,751
20260209,1192161128,,1479
20260209,1192161128,,2000
20260209,1192161128,,2696
20260209,1192161128,,1978
20260209,1192161128,,2752
20260209,1192161128,,1886
20260209,1192161128,,2460
20260209,1192161128,,2057
20260209,1280354894,,934
20260209,1280354894,,1759
20260209,1280354894,,2267
20260209,1280354894,,1335
20260209,1280354894,,2515
20260209,1280354894,,2263
20260209,1280354894,,2668
20260209,1280354894,,2400
20260209,1280354894,,2353
20260209,1280354894,,1801
20260209,1280354894,,1800
20260209,1280354894,,540
20260209,1633456189,,2170
20260209,1633456189,,1667
20260209,1633456189,,936
20260209,1633456189,,1910
20260209,1633456189,,2200
20260209,1633456189,,2200
20260209,1633456189,,2905
20260209,1633456189,,2233
20260209,1633456189,,1454
20260209,1633456189,,1255
20260209,1633456189,,1815
20260209,1633456189,,1470
20260209,1263079629,,2119
20260209,1263079629,,769
20260209,1263079629,,2344
20260209,1263079629,,3246
20260209,1263079629,,2330
20260209,1263079629,,847
20260209,1263079629,,892
20260209,1263079629,,641
20260209,1263079629,,1798
20260209,1263079629,,1355
20260209,1263079629,,1646
20260209,1263079629,,387
20260209,1551295318,厨具,2000
20260209,1551295318,骨雕,2126
20260209,1551295318,矿钻,2071
20260209,1551295318,罐头,1802
20260209,1551295318,水培,1094
20260209,1551295318,口服,2200
20260209,1551295318,髀石,1800
20260209,1551295318,幼苗,1335
20260209,1551295318,晶块,2132
20260209,1551295318,矿镐,1582
20260209,1551295318,头盔,2080
20260209,1968623753,,1867
20260209,1968623753,,1664
20260209,1968623753,,2431
20260209,1968623753,,2142
20260209,1968623753,,2400
20260209,1968623753,,1231
20260209,1968623753,,2250
20260209,1968623753,,1536
20260209,1968623753,,2200
20260209,1968623753,,1749
20260209,1968623753,,3231
20260209,1968623753,,1962
20260209,1148780120,,1830
20260209,1148780120,,2200
20260209,1148780120,,2544
20260209,1148780120,,2102
20260209,1148780120,,2687
20260209,1148780120,,1253
20260209,1148780120,,2314
20260209,1148780120,,1869
20260209,1148780120,,2537
20260209,1148780120,,2152
20260209,1148780120,,2711
20260209,1148780120,,1998
20260209,1012337088,,906
20260209,1012337088,,2219
20260209,1012337088,,2495
20260209,1012337088,,1697
20260209,1012337088,,1636
20260209,1012337088,,1903
20260209,1012337088,,2040
20260209,1012337088,,1658
20260209,1012337088,,2287
20260209,1012337088,,1677
20260209,1012337088,,2732
20260209,1012337088,,1611
20260209,1395208854,厨具,1875
20260209,1395208854,骨雕,2000
20260209,1395208854,矿钻,1464
20260209,1395208854,罐头,1899
20260209,1395208854,水培,2260
20260209,1395208854,口服,2041
20260209,1395208854,髀石,2714
20260209,1395208854,幼苗,1956
20260209,1395208854,矿镐,2311
20260209,1395208854,晶块,1914
20260209,1395208854,头盔,1855
20260209,1436096754,,2661
20260209,1436096754,,2310
20260209,1436096754,,2322
20260209,1436096754,,2155
20260209,1436096754,,2030
20260209,1436096754,,2200
20260209,1436096754,,2361
20260209,1436096754,,2337
20260209,1436096754,,1913
20260209,1436096754,,1292
20260209,1436096754,,3307
20260209,1436096754,,3007
