time,member,price,user,content
210606-194744,萌陈14,,星耀与长空,"低热随便拿也好玩"
210606-194744,帅Pi16,,雅宫零,"草"
210606-194744,帅Pi11,,Rainfow,"wlj？"
210606-194748,帅Pi16,,醋栗_Stachelbeere,"不省事笑死"
210606-194750,猫闷台11,,不自重的少年,"憋做梦了，老实打吧"
210606-194751,帅Pi15,,瘦弱的喵星人,"钓鱼大师api"
210606-194752,星川14,,R_れをる,"又骗弹幕"
210606-194752,,,furan17940,"那确实不咋节约"
210606-194755,萌陈11,,misanthrop,"投弹玩冰酒雷"
210606-194755,帅Pi17,,minoliiii,"冰酒无敌"
210606-194757,帅Pi17,,落人存在感,"冰酒无敌"
210606-194759,卩可布21,,沐天橙,"直播被他懂完了"
210606-194759,你醒醒12,,悲伤的秋千,"阿瑞斯"
210606-194801,帅Pi15,,某科学的泡泡茶壶,"石榴感觉很菜，完全不配传奇"
210606-194801,帅Pi16,,cantabile-,"1"
210606-194805,帅Pi18,,苦索一库,"强行说错"
210606-194805,敲可栗13,,下班族稽良稽影,"战神和酒神"
210606-194805,萌陈17,,银鳞胸甲TAT,"战神"
210606-194812,帅Pi11,,JudasQAQ,"酒杀"
210606-194812,,,想恰饭而已,"针不戳"
210606-194813,帅Pi15,,柏风,"宿醉是吧"
210606-194818,帅Pi15,,Tempestissimo_,"盾3叠酒很安逸"
210606-194821,猫闷台11,,不自重的少年,"他什么效果都有"
210606-194825,帅Pi26,,吃我大湘常了,"雷酒是本游戏最容易凑齐的通关组合"
210606-194827,狐之火15,,0110111100,"梦想很美好("
210606-194831,札束5,,LlisAlterego,"梦里什么都有"
210606-194835,核糖13,,冰水般的微笑,"先钱包"
210606-194836,魂球5,,AY8紫罗,"河里"
210606-194837,帅Pi12,,749-917,"笑死 正在玩战爱"
210606-194838,帅Pi15,,吐槽大队长厄命小丑,"战猎酒？"
210606-194839,帅Pi15,,Tempestissimo_,"一看没有战神信物"
210606-194843,帅Pi13,,崇高石,"拉"
210606-194849,帅Pi16,￥30,余澜,"pipi，明天高考想要个那个"
210606-194849,帅Pi17,,落人存在感,"留给其他的吧"
210606-194853,札束5,,LlisAlterego,"拉满呀"
210606-194856,昂汪汪12,,谢雨沉,"2厉害啊"
210606-194903,敲可栗13,,下班族稽良稽影,"喀戎是最简单的流派了"
210606-194906,,,木っ端微塵,"马永六"
210606-194908,帅Pi13,,柚梓杋,"赫拉的也厉害"
210606-194909,帅Pi24,,wsllk1,"草"
210606-194912,札束5,,LlisAlterego,"泰坦之血多打就好了"
210606-194914,帅Pi24,,_Zephyr_,"草"
210606-194915,帅Pi15,,岩间明,"蒙的全会"
210606-194917,工居人24,,氨基酸又甜又酸,"蒙的全会"
210606-194918,,,furan17940,"老板高考加油早点休息"
210606-194918,帅Pi16,,汤姆苏狂热,"蒙的全会"
210606-194919,帅Pi24,,KirisakiMashiro,"蒙的也全会"
210606-194920,帅Pi21,,Astray_s,"蒙的也会"
210606-194920,,,老板来一碗四点,"lb快去复习"
210606-194922,帅Pi16,,一只纸蝉,"蒙的也全会"
210606-194922,帅Pi21,,LittleTinyLight,"蒙的全会"
210606-194923,吸猫1,,你想干甚么鸭,"武器有5滴泰坦血就可以对话解锁隐藏了"
210606-194925,帅Pi15,,柏风,"他要那个"
210606-194925,喵团3,,DC史莱姆,"高考还看直播"
210606-194927,帅Pi10,,小光饼,"乖"
210606-194927,猫闷台11,,不自重的少年,"点啊"
210606-194929,帅Pi15,,飘飞的浮云,"3热度有悬赏"
210606-194932,菲娜13,,中世纪无产战士,"忘了api想想那个它"
210606-194934,帅Pi19,,长生猫猫头,"乖"
210606-194934,帅Pi16,,Kamuri_,"高考生考完再来，乖"
210606-194934,帅Pi18,,途寂,"你不点没资源啊"
210606-194937,帅Pi15,,Tempestissimo_,"特攻"
210606-194940,帅Pi16,,每天睡觉真的好爽,"老板考的全会蒙的全对"
210606-194943,帅Pi24,,wsllk1,"0热度不是全拿了吗"
210606-194943,子轩6,,伊野冰木,"22"
210606-194944,帅Pi26,,吃我大湘常了,"雷酒吧"
210606-194945,狗雨15,,hyyly,"0的资源拿完了"
210606-194945,帅Pi15,,遊丿闲,"2"
210606-194946,狐之火12,,安洁莉娜Angelina,"来了，亲爱的晚上好！"
210606-194947,萌陈11,,misanthrop,"爱普酒特"
210606-194950,摸鱼子24,,猫耳红白,"投弹要的"
210606-194950,帅Pi15,,Tempestissimo_,"酒投罢"
210606-194950,帅Pi13,,路人无罪,"2"
210606-194950,帅Pi23,,芒刺在身,"2"
210606-194951,猫闷台11,,不自重的少年,"普~通"
210606-194951,帅Pi10,,直男の阿康,"好耶"
210606-194953,DJ15,,夏丶空,"2"
210606-194953,札束5,,LlisAlterego,"2"
210606-194954,12Team3,,白色花漾,"22222"
210606-194956,帅Pi11,,燃烧的碳灰,"投弹"
210606-194957,帅Pi10,,秋的狗狗和猫猫,"临阵磨枪又快又光"
210606-194958,帅Pi12,,方野文刀,"1"
210606-194958,帅Pi14,,--------------0-,"鱼！"
210606-194959,萌陈17,,银鳞胸甲TAT,"投弹要的"
210606-195000,帅Pi18,,潮风爆糯,"zzz"
210606-195000,帅Pi6,,romoon,"这时候复习是没用的 大吃一顿听听歌"
210606-195001,萌陈17,,银鳞胸甲TAT,"鱼啊"
210606-195004,帅Pi12,,749-917,"普爱特战 猛"
210606-195004,帅Pi15,,Tempestissimo_,"0热已经没资源了"
210606-195004,陆夫人19,,coderat,"弓0你打过了吧"
210606-195006,財布19,,O茵蒂克丝O,"热度没加"
210606-195009,,,落烬成灰,"0热拿了已经"
210606-195009,帅Pi15,,柏风,"鱼错过了你"
210606-195011,帅Pi13,,柚梓杋,"又没钓鱼"
210606-195012,大米缸11,,八云蓝莓汁,"又没钓鱼"
210606-195014,敲可栗13,,下班族稽良稽影,"投弹也可以，酒神投弹前期伤害高的"
210606-195016,帅Pi11,,v凡-JS9F,"鱼！"
210606-195018,帅Pi14,,养猪养鹅还养鬼,"鱼啊pi"
210606-195019,帅Pi22,,包包家的变态,"再来个奶奶？"
210606-195020,帅Pi12,,增殖的J,"1"
210606-195024,帅Pi17,,椰同学慵懒中,"来了"
210606-195028,帅Pi21,,SWEEP-RED,"？"
210606-195028,,,furan17940,"烤鱼：？"
210606-195028,帅Pi16,,喝小醉丶,"被酒色所伤"
210606-195028,帅Pi22,,simplume,"？"
210606-195030,帅Pi16,,一只纸蝉,"？"
210606-195030,帅Pi17,,九救酒,"草"
210606-195030,帅Pi23,,雨枫真夜,"草"
210606-195030,帅Pi16,,知效,"？"
210606-195030,帅Pi21,,艾蕾--Ereshkigal,"?"
210606-195031,帅Pi15,,柏风,"臭人"
210606-195031,敲可栗13,,下班族稽良稽影,"？"
210606-195032,帅Pi16,,愚安annfol,"？"
210606-195032,帅Pi22,,羽飘万里,"？"
210606-195032,帅Pi15,,吐槽大队长厄命小丑,"？"
210606-195032,子轩6,,伊野冰木,"?"
210606-195032,帅Pi15,,Hakute,"？？？"
210606-195033,帅Pi10,,木壳20,"？"
210606-195033,帅Pi15,,咸鱼minn,"？"
210606-195033,帅Pi18,,壱ノ霊01,"？"
210606-195033,帅Pi24,,wsllk1,"这个鱼怎么没到api怀里？"
210606-195034,狐之火15,,0110111100,"都怪烤鱼"
210606-195034,帅Pi17,,mikusaikao,"艹"
210606-195035,帅Pi16,,佐仓鸽子,"草"
210606-195035,帅Pi15,,岩间明,"就是就是"
210606-195035,帅Pi10,,直男の阿康,"草"
210606-195035,帅Pi16,,愚安annfol,"？/"
210606-195035,帅Pi18,,Alterlook,"臭人"
210606-195035,陆夫人17,,clocks7,"烤鱼：？？？"
210606-195036,12Team6,,废难糖,"草"
210606-195036,帅Pi15,,飞鱼牟,"都怪烤鱼"
210606-195036,牵丝蝠26,,琰月,"99 1"
210606-195037,帅Pi13,,路人无罪,"都怪烤鱼"
210606-195037,帅Pi17,,夜雨街巷,"？"
210606-195037,帅Pi14,,伏黑惠会灰w,"？？？"
210606-195037,帅Pi17,,栋栋灬涵,"烤鱼：？"
210606-195037,帅Pi23,,酱酱酱酱酱酱酱酱紫啊,"都怪烤鱼"
210606-195037,帅Pi21,,SWEEP-RED,"烤鱼:什么？"
210606-195038,帅Pi21,,长羽毛的蛇,"草"
210606-195038,摸鱼子11,,开门啦隔壁老王来了,"哈哈哈哈哈"
210606-195038,帅Pi19,,长生猫猫头,"臭人"
210606-195038,帅Pi22,,黑茶Ranky,"9i战"
210606-195038,帅Pi17,,残墨居,"？？？"
210606-195038,艾莉酱21,,Ea_Aon,"臭人"
210606-195038,帅Pi17,,落人存在感,"？"
210606-195038,帅Pi25,,塔露拉miu,"？"
210606-195039,帅Pi18,,单挑api,"都是烤鱼的错"
210606-195039,帅Pi24,,KirisakiMashiro,"臭人！"
210606-195039,摸鱼子21,,千古幽悠酒浇愁,"？"
210606-195039,帅Pi15,,天知道我有多少岁,"???"
210606-195040,帅Pi18,,Alterlook,"臭人！！"
210606-195040,帅Pi15,,彗星の冒険家,"臭人"
210606-195041,摸鱼子21,,武藤-蜜蜡,"都怪烤鱼"
210606-195042,帅Pi18,,懒懒饭团,"草"
210606-195042,帅Pi18,,517ja,"奖励都差点没拿"
210606-195042,帅Pi13,,柚梓杋,"臭人"
210606-195043,帅Pi11,,罗蔓蒂没克,"臭人"
210606-195043,札束5,,LlisAlterego,"臭人"
210606-195044,帅Pi17,,夜雨街巷,"臭人"
210606-195048,帅Pi18,,三三奇林,"？"
210606-195049,陆夫人17,,clocks7,"为什么啊"
210606-195050,帅Pi17,,晓皓2,"？？？"
210606-195052,帅Pi22,,裸の男さん,"臭人！"
210606-195055,狗雨15,,hyyly,"弓0热度奖励拿完了（）"
210606-195055,帅Pi16,,AltairEx,"怎~么~回~事？"
210606-195056,,,Mineral water,"臭人"
210606-195059,帅Pi13,,沁光,"？"
210606-195104,帅Pi15,,瘦弱的喵星人,"你们以为api没有钓鱼，实际上鱼已经上钩了（"
210606-195113,帅Pi17,,历程酱,"弓0热度奖励拿完了（）"
210606-195134,札束5,,LlisAlterego,"攒多点钻开高热度才可以进的关卡吧"
210606-195139,札束5,,LlisAlterego,"那个挺有意思的"
210606-195142,嘉心糖12,,bancurd,"1"
210606-195143,大母鹅16,,抹茶菟菟,"没有啊(╯°口°)╯(┴—┴"
210606-195144,大母鹅10,,夜里的蚊,"1"
210606-195145,敲可栗13,,下班族稽良稽影,"投弹不用回收的，过图自动回收"
210606-195145,帅Pi10,,直男の阿康,"我走baa"
210606-195147,帅Pi15,,岩间明,"正好都是黑暗能量，重开吧"
210606-195147,陆夫人13,,星微冰尘,"走"
210606-195147,,,Me1iodas,"可走"
210606-195149,帅Pi24,,wsllk1,"就当练级了（"
210606-195150,摸鱼子11,,开门啦隔壁老王来了,"你走"
210606-195150,猫闷台11,,不自重的少年,"走"
210606-195151,帅Pi18,,途寂,"悬赏表会显示的"
210606-195152,,,炮姐v587666,"没事黑水多"
210606-195153,帅Pi18,,秋夜-残雨,"大地图可以看"
210606-195154,狐之火15,,0110111100,"走吧"
210606-195154,帅Pi17,,邪王真眼_zero,"api还没拿到d6roll不了"
210606-195155,,,落烬成灰,"可以走"
210606-195156,星川14,,R_れをる,"确实拿完了"
210606-195158,帅Pi17,,九救酒,"重开吧"
210606-195158,帅Pi18,,秋夜-残雨,"会显示的"
210606-195159,帅Pi16,,知效,"梗王"
210606-195211,狐之火15,,0110111100,"或者杀了第一关boos再走"
210606-195221,帅Pi11,,平凡的酱油党,"骰子是镜子最后一个天赋了"
210606-195229,帅Pi10,,直男の阿康,"弓二中期刷材料挺好的"
210606-195229,帅Pi17,,九救酒,"才第一关，来得及"
210606-195231,芽勇者21,,源于山中大海苔,"怎么都是单个门"
210606-195232,帅Pi15,,Tempestissimo_,"记得送酒换信物"
210606-195234,摸鱼子23,,特米米_official,"看一眼boss就知道拿了没有了"
210606-195239,大母鹅10,,doubyg,"这迷雾好强"
210606-195252,帅Pi15,,网易第玊人格手游,"金罐子"
210606-195252,帅Pi15,,chuadi,"黑暗能量也挺缺的 拿  都可以拿！"
210606-195301,帅Pi11,,平凡的酱油党,"没基建材料也有黑暗啊"
210606-195306,帅Pi14,,--------------0-,"诅咒"
210606-195308,帅Pi13,,崇高石,"诅咒"
210606-195309,帅Pi15,,Tempestissimo_,"信——物——啊——"
210606-195310,帅Pi10,,一颗大土豆傻傻的活,"送酒"
210606-195310,帅Pi17,,历程酱,"222222222"
210606-195311,星川14,,R_れをる,"送酒啊"
210606-195314,帅Pi14,,火月焚华,"不是说要诅咒么"
210606-195316,帅Pi16,,上杉长秀,"诅咒啊"
210606-195317,帅Pi15,,飘飞的浮云,"给战神送点酒呗"
210606-195317,黑洞5,,猫影瞳黑,"诅咒呢？？"
210606-195317,摸鱼子21,,武藤-蜜蜡,"诅咒"
210606-195319,帅Pi16,,_八重村驱魔炮,"J"
210606-195319,帅Pi14,,--------------0-,"反正是一个没记住hhh"
210606-195321,帅Pi17,,历程酱,"诅咒"
210606-195323,摔跤13,,点心Aki,"战神的冲刺很蠢啊"
210606-195327,陆夫人18,,扎德尔,"晚安"
210606-195330,帅Pi13,,路人无罪,"要诅咒的"
210606-195330,敲可栗13,,下班族稽良稽影,"反正是一个条件也没记住"
210606-195331,帅Pi15,,柏风,"dark"
210606-195333,帅Pi22,,包包家的变态,"一个都没记住"
210606-195334,帅Pi17,,捂好我的小马甲," 来了来了"
210606-195338,帅Pi17,,骗你我开心呀,"."
210606-195342,萌陈17,,银鳞胸甲TAT,"战神冲刺我都不拿的"
210606-195344,DJ15,,夏丶空,"诅咒"
210606-195344,帅Pi17,,九救酒,"锤子啊"
210606-195348,艾莉酱21,,Ea_Aon,"1111111"
210606-195350,帅Pi21,,SWEEP-RED,"1"
210606-195351,帅Pi17,,历程酱,"一个都没记住2333333333"
210606-195352,,,落烬成灰,"这不任务达人"
210606-195352,黑洞5,,猫影瞳黑,"要诅咒的吧"
210606-195355,刺儿15,,水樹沙耶,"11111111111"
210606-195357,毒奶8,,风戏凤,"你拿个锤子哦"
210606-195401,,,11011444,"别拿爆裂"
210606-195404,帅Pi12,,海绵豹豹_,"1"
210606-195405,帅Pi24,,wsllk1,"草"
210606-195407,帅Pi24,,KirisakiMashiro,"漏了一个！"
210606-195407,帅Pi23,,想做api小姐的猫,"1"
210606-195410,,,11011444,"1太慢了"
210606-195419,帅Pi11,,平凡的酱油党,"爆裂箭弓2不务正业啊"
210606-195419,帅Pi21,,SWEEP-RED,"1伤害很高"
210606-195419,帅Pi16,,GT-kwong,"1"
210606-195420,咪呜23,,懑曻橃眔纔這奭檇郝恴,"1"
210606-195421,財布19,,O茵蒂克丝O,"双重前置没必要记，都会遇到的"
210606-195423,帅Pi10,,直男の阿康,"可以爱普猎特暴击流 "
210606-195426,帅Pi15,,岩间明,"这蓄力太难受了"
210606-195436,刺儿15,,水樹沙耶,"錢錢"
210606-195438,花丸家10,,六里雾中_Suika,"酒神炸弹挺好用"
210606-195446,,,furan17940,"暴击弓pi"
210606-195448,帅Pi18,,秋夜-残雨,"记得给二叔送酒"
210606-195448,12Team21,,污神夜斗,"前期什么东西都能玩的很爽，后期就是各种折磨"
210606-195449,KaKaa17,,用户已删除,"1"
210606-195450,MePldm2,,Brumm,"箱子右上角记得钱啊"
210606-195455,帅Pi18,,秋夜-残雨,"记得给二叔酒"
210606-195500,,,wenao123,"冰海酒雷"
210606-195502,帅Pi13,,路人无罪,"酒投是真的猛"
210606-195507,帅Pi24,,wsllk1,"下次一定"
210606-195507,黑哲18,,Lucifer丶R1,"普攻伤害爆炸了"
210606-195507,帅Pi18,,我住隔壁我性王，你有事情我帮忙,"记得给酒"
210606-195508,帅Pi18,,Alterlook,"二叔"
210606-195509,帅Pi17,,九救酒,"送酒"
210606-195512,猫闷台11,,不自重的少年,"猛男PI"
210606-195518,帅Pi15,,sea鸽,"记得送二叔酒"
210606-195520,帅Pi18,,Alterlook,"记得给二叔酒"
210606-195520,帅Pi15,,飘飞的浮云,"记得给二叔送酒"
210606-195520,帅Pi17,,晓皓2,"酒"
210606-195521,帅Pi18,,智商漫步中,"1"
210606-195522,帅Pi18,,OSGundam,"1"
210606-195529,帅Pi17,,九救酒,"酒"
210606-195542,幻士10,,博文酱是真的菜,"爆炸箭配个速射不要太爽"
210606-195547,幻士10,,博文酱是真的菜,"狂轰乱炸"
210606-195558,帅Pi12,,·····hentai···,"二叔送酒"
210606-195615,帅Pi15,,柏风,"呃叔"
210606-195620,帅Pi15,,只野馬鹿,"提醒给二叔送酒小bot"
210606-195625,陆夫人17,,clocks7,"不是波波了吗"
210606-195626,子轩6,,伊野冰木,"1111111"
210606-195627,帅Pi13,,路人无罪,"1"
210606-195627,帅Pi15,,龙影丶梦幻,"二叔ub"
210606-195628,帅Pi16,,Acutance,"@末桅"
210606-195628,鬼斯通1,,guihb,"太肝了打不下去了(=·ω·=)"
210606-195633,帅Pi11,,平凡的酱油党,"海螺壳是钓鱼传奇前置（）"
210606-195634,帅Pi16,,雅宫零,"二叔爱你"
210606-195635,帅Pi10,,直男の阿康,"22222"
210606-195642,帅Pi16,,喝小醉丶,"击剑"
210606-195644,帅Pi23,,芒刺在身,"抢二叔的钱"
210606-195646,帅Pi24,,KirisakiMashiro,"先击剑"
210606-195647,帅Pi13,,路人无罪,"先击剑吧"
210606-195647,摸鱼子12,,龟龟233,"先击剑"
210606-195653,帅Pi17,,芝士一条咸鱼,"来了"
210606-195715,花丸家10,,六里雾中_Suika,"pi为啥一直用弓啊"
210606-195716,狗雨15,,hyyly,"前置你稀有度低也遇不到后置啊"
210606-195722,帅Pi24,,我有尾巴呀,"死尸弹"
210606-195724,帅Pi11,,平凡的酱油党,"有地雷"
210606-195730,帅Pi17,,仲伊巴red,"1"
210606-195730,帅Pi11,,龙拳打啤,"1111"
210606-195732,帅Pi15,,Hakute,"草"
210606-195732,帅Pi24,,wsllk1,"因为弓双up"
210606-195735,,,来♂战♂个♂痛♂快♂,"苦力怕炸了"
210606-195736,帅Pi26,,千代紙,"草"
210606-195736,帅Pi17,,九救酒,"任务达人"
210606-195738,帅Pi22,,黑茶Ranky,"马达大拿"
210606-195738,帅Pi19,,长生猫猫头,"草"
210606-195738,財布19,,O茵蒂克丝O,"任务"
210606-195738,帅Pi15,,sea鸽,"因为用其他武器的时候你没看"
210606-195739,帅Pi12,,别的小朋友都有天使牵,"11"
210606-195743,帅Pi10,,山醴澈兮,"1"
210606-195747,帅Pi11,,平凡的酱油党,"好白，镜子等价还是要提升啊"
210606-195750,帅Pi15,,Hakute,"口…"
210606-195757,摸鱼子24,,莫班车,"1"
210606-195758,帅Pi12,,别的小朋友都有天使牵,"弹幕修好了呀"
210606-195807,帅Pi18,,Alterlook,"三姐"
210606-195808,MePldm2,,Brumm,"口手"
210606-195810,帅Pi17,,我还DIO过脚呢,"撒手"
210606-195813,摸鱼子23,,特米米_official,"口手"
210606-195814,帅Pi22,,黑茶Ranky,"murder~"
210606-195816,帅Pi16,,老朽是格林,"1"
210606-195816,帅Pi16,,天流泪,"专门杀人手"
210606-195821,KaKaa14,,星灵幻灭,"！"
210606-195823,帅Pi15,,Hakute,"口手"
210606-195826,给吧17,,Moonium,"rua"
210606-195828,帅Pi17,,我还DIO过脚呢,"杀杀手杀手"
210606-195834,帅Pi16,,汤姆苏狂热,"口人犯"
210606-195835,陆夫人18,,相位柠檬,"口人犯"
210606-195836,,,furan17940,"mur…mur…mur cat！"
210606-195836,帅Pi16,,布朗君,"1"
210606-195847,帅Pi16,,小魔梟,"莫得"
210606-195852,湊阿夸5,,贫道是绅士,"murder"
210606-195908,PuFF24,,绊生浮铭,"这是世界嘛？"
210606-195911,帅Pi24,,wsllk1,"草"
210606-195912,,,重口味的蜈蚣,"杀人犯~~"
210606-195915,帅Pi18,,我滴妈啊,"1"
210606-195917,帅Pi13,,路人无罪,"好高的伤害"
210606-195918,MePldm2,,Brumm,"口，口，犯"
210606-195921,帅Pi17,,Sunny光光道,"被你口死了"
210606-195922,陆夫人17,,clocks7,"口人犯"
210606-195925,帅Pi15,,安泽游戏机,"口口犯"
210606-195925,帅Pi24,,wsllk1,"经济局（"
210606-195929,帅Pi26,,是颗冻汤圆,"口人犯"
210606-195929,|19岁|10,,猫喜吉,"murder"
210606-195932,帅Pi21,,SWEEP-RED,"爱神"
210606-195933,帅Pi8,,shipy_caca,"钱包"
210606-195938,帅Pi13,,路人无罪,"爱"
210606-195941,,,wenao123,"冰海酒很强"
210606-195944,帅Pi19,,长生猫猫头,"mourder"
210606-195956,,,重口味的蜈蚣,"先找祝福？"
210606-200005,,,重口味的蜈蚣,"二叔和酒得双重不知道怎样"
210606-200006,帅Pi21,,SWEEP-RED,"是的"
210606-200007,萌陈17,,银鳞胸甲TAT,"冰酒尝试一下（"
210606-200012,帅Pi11,,平凡的酱油党,"因为慢啊"
210606-200014,帅Pi15,,Tempestissimo_,"我们是蓝花悦("
210606-200015,帅Pi14,,火月焚华,"确实，再来个暴击"
210606-200018,工居人24,,氨基酸又甜又酸,"但是后期感觉要换"
210606-200021,帅Pi21,,SWEEP-RED,"这还是个普通爱神"
210606-200023,帅Pi16,,天流泪,"宙斯的卵？宙斯是剩蛋老人？"
210606-200024,帅Pi10,,直男の阿康,"爱神普攻就是强"
210606-200024,帅Pi15,,阿拉什在自爆,"因为慢"
210606-200025,帅Pi11,,龙拳打啤,"这个不算吧"
210606-200029,帅Pi18,,RET3000,"只是爱神面板高 爆炸箭其实不太行"
210606-200036,帅Pi10,,谁是萌萌desu,"这个不算"
210606-200038,MePldm2,,Brumm,"赫尔墨斯不算的"
210606-200040,萌陈17,,银鳞胸甲TAT,"这个不算的"
210606-200040,摸鱼子23,,特米米_official,"这个不算名额"
210606-200044,,,重口味的蜈蚣,"赫尔墨斯不是编制外得么"
210606-200047,帅Pi17,,九救酒,"赫尔墨斯全是辅助，没有主祝福"
210606-200047,萌陈17,,银鳞胸甲TAT,"赫尔墨斯另外计算"
210606-200050,帅Pi11,,平凡的酱油党,"赫尔墨斯算辅助"
210606-200052,帅Pi11,,十方の圆舞曲,"(=·ω·=)"
210606-200058,MePldm2,,Brumm,"这个是真的工具人 跟锤子一个定位（"
210606-200101,帅Pi11,,平凡的酱油党,"没有主祝福的"
210606-200106,帅Pi21,,SWEEP-RED,"草"
210606-200107,,,落烬成灰,"经济局（"
210606-200112,,,重口味的蜈蚣,"打工人~"
210606-200120,萌陈17,,银鳞胸甲TAT,"经济局"
210606-200132,帅Pi18,,Alfons哈士奇,"（⌒▽⌒）"
210606-200142,帅Pi15,,恩怨组我的心头好,"1"
210606-200152,帅Pi21,,风吹云流散,"(=・ω・=)"
210606-200157,帅Pi12,,749-917,"来个战神特攻"
210606-200158,帅Pi11,,平凡的酱油党,"不过赫尔墨斯传奇好像有两个，按镜子那个投弹天赋算的"
210606-200158,,,重口味的蜈蚣,"战神~"
210606-200158,帅Pi16,,赤ティン的神奇钓竿,"黑丝蒂"
210606-200200,帅Pi12,,·····hentai···,"送酒"
210606-200202,帅Pi23,,芒刺在身,"记得送酒"
210606-200206,小短凳1,,低功耗哈哈,"pi，这次bw你去吗"
210606-200209,帅Pi17,,栋栋灬涵,"记得送酒"
210606-200210,八荒团10,,千羽飞扬,"这是B叔？？？？"
210606-200210,陆夫人17,,clocks7,"任务达人，不完全做任务"
210606-200213,,,重口味的蜈蚣,"兄弟来抢怪了"
210606-200214,帅Pi15,,chuadi,"战神特攻也挺强的"
210606-200216,帅Pi17,,九救酒,"送酒"
210606-200217,MePldm2,,Brumm,"逊欸"
210606-200218,帅Pi13,,路人无罪,"要个战神的诅咒"
210606-200218,帅Pi17,,历程酱,"诅咒诅咒诅咒诅咒、"
210606-200219,帅Pi22,,麦麦麦子orz,"草"
210606-200221,帅Pi24,,wsllk1,"草"
210606-200223,KaKaa16,,白井ramuda,"笑死 抢人头"
210606-200223,黑猫11,,红魔馆的潜行大师,"好k"
210606-200223,黎沈雲18,,最新正常162,"他是彬彬"
210606-200225,帅Pi16,,Mctn崎鸠冥,"弱诶"
210606-200225,,,重口味的蜈蚣,"草"
210606-200226,帅Pi18,,一个神奇的Q,"逊欸"
210606-200228,帅Pi16,,11011444,"好k"
210606-200229,,,重口味的蜈蚣,"送上门得肉"
210606-200231,陆夫人17,,clocks7,"这个王子就是逊欸"
210606-200233,帅Pi23,,琴11,"发出了烤鱼的声音"
210606-200244,帅Pi17,,我还DIO过脚呢,"好k"
